Date,Time,Project,Activity_Description,Count,Manpower,Total_Downloads
27/04/2026,05:45 PM,DGVCL,DT Survey,88,313,449
27/04/2026,05:45 PM,DGVCL,Merged CI MI,1067,313,449
27/04/2026,05:45 PM,DGVCL,Meter Installation MI,207,313,449
27/04/2026,05:45 PM,DGVCL,New service Connection,332,313,449
27/04/2026,05:45 PM,DGVCL,O & M,100,313,449
27/04/2026,05:46 PM,APDCL7,New service Connection,33,400,693
27/04/2026,05:46 PM,APDCL7,Meter Installation[MI],893,400,693
27/04/2026,05:46 PM,APDCL7,O & M,448,400,693
27/04/2026,05:46 PM,APDCL7,DT Survey,3,400,693
27/04/2026,05:46 PM,APDCL7,DT OM,6,400,693
27/04/2026,05:46 PM,APDCL7,DT Meter Installation,3,400,693
27/04/2026,05:47 PM,Polaris,Consumer 1 PH   3 PH OM,65,591,752
27/04/2026,05:47 PM,Polaris,Consumer Indexing CI,707,591,752
27/04/2026,05:47 PM,Polaris,Consumer LTCT & HTCT(O&M),2,591,752
27/04/2026,05:47 PM,Polaris,DTR Meter Installation,153,591,752
27/04/2026,05:47 PM,Polaris,DTR Survey,94,591,752
27/04/2026,05:47 PM,Polaris,Feeder Meter Installation,9,591,752
27/04/2026,05:47 PM,Polaris,Feeder Survey,9,591,752
27/04/2026,05:47 PM,Polaris,HSE Declaration Form,422,591,752
27/04/2026,05:47 PM,Polaris,Meter Installation MI,273,591,752
27/04/2026,05:47 PM,Polaris,New service Connection,498,591,752
27/04/2026,05:47 PM,Polaris,Re-Allocation,1,591,752
27/04/2026,05:47 PM,Polaris,Screening,8,591,752
27/04/2026,05:47 PM,GVPR,DT Meter Installation,42,24,33
27/04/2026,05:47 PM,GVPR,DT Survey,23,24,33
27/04/2026,05:47 PM,GVPR,NSC MI,19,24,33
27/04/2026,05:47 PM,GVPR,O and M GF (DT),2,24,33
27/04/2026,05:47 PM,GVPR,Operations and Maintenance,3,24,33
27/04/2026,05:47 PM,GVPR,Operations and Maintenance -DT,9,24,33
27/04/2026,08:24 PM,PVVNL,CMI through MI,414,858,1301
27/04/2026,08:24 PM,PVVNL,CMI through CI,347,858,1301
27/04/2026,08:24 PM,PVVNL,CI,257,858,1301
27/04/2026,08:24 PM,PVVNL,CMI,575,858,1301
27/04/2026,08:24 PM,PVVNL,New service Connection,869,858,1301
27/04/2026,08:24 PM,PVVNL,O & M,157,858,1301
27/04/2026,08:24 PM,PVVNL,DT Survey,149,858,1301
27/04/2026,08:24 PM,PVVNL,MI Lite,1,858,1301
27/04/2026,08:24 PM,PVVNL,DT O&M,21,858,1301
27/04/2026,08:24 PM,PVVNL,Feeder Meter Installation,1,858,1301
27/04/2026,08:24 PM,PVVNL,DT Meter Installation,151,858,1301
27/04/2026,08:25 PM,MVVVNL,CMI through MI,466,638,850
27/04/2026,08:25 PM,MVVVNL,CMI through CI,491,638,850
27/04/2026,08:25 PM,MVVVNL,CI,23,638,850
27/04/2026,08:25 PM,MVVVNL,CMI,611,638,850
27/04/2026,08:25 PM,MVVVNL,DT Meter Installation,79,638,850
27/04/2026,08:25 PM,MVVVNL,DT O&M,35,638,850
27/04/2026,08:25 PM,MVVVNL,DT Survey,23,638,850
27/04/2026,08:25 PM,MVVVNL,Feeder Survey,1,638,850
27/04/2026,08:25 PM,MVVVNL,MI lite,3,638,850
27/04/2026,08:25 PM,MVVVNL,New service Connection,640,638,850
27/04/2026,08:25 PM,MVVVNL,O & M,790,638,850
27/04/2026,08:26 PM,MGVCL,New service Connection,389,370,500
27/04/2026,08:26 PM,MGVCL,Meter Installation,1928,370,500
27/04/2026,08:26 PM,MGVCL,Ticket Creation,7,370,500
27/04/2026,08:26 PM,MGVCL,O & M,91,370,500
27/04/2026,08:26 PM,MGVCL,DT Survey,54,370,500
27/04/2026,08:26 PM,MGVCL,Consumer Indexing,2,370,500
27/04/2026,08:26 PM,MGVCL,DT Meter Installation,51,370,500
27/04/2026,08:27 PM,DGVCL,DT Meter Installation,120,344,466
27/04/2026,08:27 PM,DGVCL,DT Survey,100,344,466
27/04/2026,08:27 PM,DGVCL,Merged CI MI,1259,344,466
27/04/2026,08:27 PM,DGVCL,Meter Installation MI,221,344,466
27/04/2026,08:27 PM,DGVCL,New service Connection,440,344,466
27/04/2026,08:27 PM,DGVCL,O & M,113,344,466
27/04/2026,08:28 PM,APDCL7,New service Connection,53,536,732
27/04/2026,08:28 PM,APDCL7,Meter Installation[MI],1284,536,732
27/04/2026,08:28 PM,APDCL7,O & M,727,536,732
27/04/2026,08:28 PM,APDCL7,DT Survey,3,536,732
27/04/2026,08:28 PM,APDCL7,DT OM,11,536,732
27/04/2026,08:28 PM,APDCL7,DT Meter Installation,3,536,732
27/04/2026,08:28 PM,Polaris,Consumer 1 PH   3 PH OM,82,621,782
27/04/2026,08:28 PM,Polaris,Consumer Indexing CI,800,621,782
27/04/2026,08:28 PM,Polaris,Consumer LTCT & HTCT(O&M),2,621,782
27/04/2026,08:28 PM,Polaris,DTR Meter Installation,201,621,782
27/04/2026,08:28 PM,Polaris,DTR Survey,99,621,782
27/04/2026,08:28 PM,Polaris,Feeder Meter Installation,12,621,782
27/04/2026,08:28 PM,Polaris,Feeder Survey,13,621,782
27/04/2026,08:28 PM,Polaris,HSE Declaration Form,438,621,782
27/04/2026,08:28 PM,Polaris,Meter Installation MI,344,621,782
27/04/2026,08:28 PM,Polaris,New service Connection,633,621,782
27/04/2026,08:28 PM,Polaris,Re-Allocation,1,621,782
27/04/2026,08:28 PM,Polaris,Screening,8,621,782
27/04/2026,08:29 PM,GVPR,DT Meter Installation,55,24,36
27/04/2026,08:29 PM,GVPR,DT Survey,24,24,36
27/04/2026,08:29 PM,GVPR,NSC MI,19,24,36
27/04/2026,08:29 PM,GVPR,O and M GF (DT),2,24,36
27/04/2026,08:29 PM,GVPR,Operations and Maintenance,3,24,36
27/04/2026,08:29 PM,GVPR,Operations and Maintenance -DT,9,24,36
28/04/2026,11:56 AM,PVVNL,CMI through MI,103,365,1008
28/04/2026,11:56 AM,PVVNL,CMI through CI,62,365,1008
28/04/2026,11:56 AM,PVVNL,CI,182,365,1008
28/04/2026,11:56 AM,PVVNL,New service Connection,237,365,1008
28/04/2026,11:56 AM,PVVNL,O & M,44,365,1008
28/04/2026,11:56 AM,PVVNL,DT Survey,64,365,1008
28/04/2026,11:56 AM,PVVNL,DT O&M,1,365,1008
28/04/2026,11:56 AM,DGVCL,DT Meter Installation,28,138,412
28/04/2026,11:56 AM,DGVCL,DT Survey,27,138,412
28/04/2026,11:56 AM,DGVCL,Merged CI MI,345,138,412
28/04/2026,11:56 AM,DGVCL,Meter Installation MI,15,138,412
28/04/2026,11:56 AM,DGVCL,New service Connection,121,138,412
28/04/2026,11:56 AM,DGVCL,O & M,50,138,412
28/04/2026,11:57 AM,MVVVNL,CMI through MI,45,286,156
28/04/2026,11:57 AM,MVVVNL,CMI through CI,67,286,156
28/04/2026,11:57 AM,MVVVNL,CI,5,286,156
28/04/2026,11:57 AM,MVVVNL,DT O&M,10,286,156
28/04/2026,11:57 AM,MVVVNL,DT Survey,8,286,156
28/04/2026,11:57 AM,MVVVNL,New service Connection,150,286,156
28/04/2026,11:57 AM,MVVVNL,O & M,372,286,156
28/04/2026,12:09 PM,PVVNL,CMI through MI,115,385,1031
28/04/2026,12:09 PM,PVVNL,CMI through CI,70,385,1031
28/04/2026,12:09 PM,PVVNL,CI,200,385,1031
28/04/2026,12:09 PM,PVVNL,CMI,160,385,1031
28/04/2026,12:09 PM,PVVNL,New service Connection,258,385,1031
28/04/2026,12:09 PM,PVVNL,O & M,44,385,1031
28/04/2026,12:09 PM,PVVNL,DT Survey,66,385,1031
28/04/2026,12:09 PM,PVVNL,DT O&M,1,385,1031
28/04/2026,12:09 PM,PVVNL,DT Meter Installation,24,385,1031
28/04/2026,12:17 PM,MVVVNL,CMI through MI,72,321,677
28/04/2026,12:17 PM,MVVVNL,CMI through CI,80,321,677
28/04/2026,12:17 PM,MVVVNL,CI,5,321,677
28/04/2026,12:17 PM,MVVVNL,CMI,115,321,677
28/04/2026,12:17 PM,MVVVNL,DT Meter Installation,6,321,677
28/04/2026,12:17 PM,MVVVNL,DT O&M,11,321,677
28/04/2026,12:17 PM,MVVVNL,DT Survey,8,321,677
28/04/2026,12:17 PM,MVVVNL,New service Connection,172,321,677
28/04/2026,12:17 PM,MVVVNL,O & M,441,321,677
28/04/2026,05:10 PM,PVVNL,CMI through MI,400,833,1339
28/04/2026,05:10 PM,PVVNL,CMI through CI,304,833,1339
28/04/2026,05:10 PM,PVVNL,CI,389,833,1339
28/04/2026,05:10 PM,PVVNL,CMI,578,833,1339
28/04/2026,05:10 PM,PVVNL,New service Connection,708,833,1339
28/04/2026,05:10 PM,PVVNL,O & M,108,833,1339
28/04/2026,05:10 PM,PVVNL,DT Survey,132,833,1339
28/04/2026,05:10 PM,PVVNL,DT O&M,15,833,1339
28/04/2026,05:10 PM,PVVNL,DT Meter Installation,117,833,1339
28/04/2026,05:10 PM,MVVVNL,CMI through MI,281,609,848
28/04/2026,05:10 PM,MVVVNL,CMI through CI,372,609,848
28/04/2026,05:10 PM,MVVVNL,CI,16,609,848
28/04/2026,05:10 PM,MVVVNL,CMI,481,609,848
28/04/2026,05:10 PM,MVVVNL,DT Meter Installation,49,609,848
28/04/2026,05:10 PM,MVVVNL,DT O&M,23,609,848
28/04/2026,05:10 PM,MVVVNL,DT Survey,37,609,848
28/04/2026,05:10 PM,MVVVNL,New service Connection,540,609,848
28/04/2026,05:10 PM,MVVVNL,O & M,1021,609,848
28/04/2026,05:11 PM,MGVCL,New service Connection,278,342,453
28/04/2026,05:11 PM,MGVCL,Meter Installation,1448,342,453
28/04/2026,05:11 PM,MGVCL,Ticket Creation,15,342,453
28/04/2026,05:11 PM,MGVCL,O & M,112,342,453
28/04/2026,05:11 PM,MGVCL,DT Survey,24,342,453
28/04/2026,05:11 PM,MGVCL,DT Meter Installation,33,342,453
28/04/2026,05:12 PM,DGVCL,DT Meter Installation,77,338,470
28/04/2026,05:12 PM,DGVCL,DT Survey,122,338,470
28/04/2026,05:12 PM,DGVCL,Merged CI MI,1130,338,470
28/04/2026,05:12 PM,DGVCL,Meter Installation MI,112,338,470
28/04/2026,05:12 PM,DGVCL,New service Connection,438,338,470
28/04/2026,05:12 PM,DGVCL,O & M,131,338,470
28/04/2026,05:12 PM,APDCL7,New service Connection,22,386,682
28/04/2026,05:12 PM,APDCL7,Meter Installation[MI],811,386,682
28/04/2026,05:12 PM,APDCL7,O & M,367,386,682
28/04/2026,05:12 PM,APDCL7,DT Survey,10,386,682
28/04/2026,05:12 PM,APDCL7,DT OM,6,386,682
28/04/2026,05:12 PM,APDCL7,DT Meter Installation,2,386,682
28/04/2026,05:13 PM,Polaris,Consumer 1 PH   3 PH OM,74,605,790
28/04/2026,05:13 PM,Polaris,Consumer Indexing CI,632,605,790
28/04/2026,05:13 PM,Polaris,DTR Meter Installation,92,605,790
28/04/2026,05:13 PM,Polaris,DTR Survey,54,605,790
28/04/2026,05:13 PM,Polaris,Feeder Meter Installation,6,605,790
28/04/2026,05:13 PM,Polaris,Feeder Survey,7,605,790
28/04/2026,05:13 PM,Polaris,HSE Declaration Form,427,605,790
28/04/2026,05:13 PM,Polaris,Meter Installation MI,267,605,790
28/04/2026,05:13 PM,Polaris,New service Connection,492,605,790
28/04/2026,05:13 PM,Polaris,Preliminary DTR Survey,1,605,790
28/04/2026,05:13 PM,Polaris,Screening,1,605,790
28/04/2026,05:14 PM,GVPR,DT Meter Installation,23,12,24
28/04/2026,05:14 PM,GVPR,DT Survey,13,12,24
28/04/2026,05:14 PM,GVPR,Operations and Maintenance,3,12,24
28/04/2026,05:14 PM,GVPR,Operations and Maintenance -DT,1,12,24
28/04/2026,05:14 PM,GVPR,DT Meter Installation,23,12,24
28/04/2026,05:14 PM,GVPR,DT Survey,13,12,24
28/04/2026,05:14 PM,GVPR,Operations and Maintenance,3,12,24
28/04/2026,05:14 PM,GVPR,Operations and Maintenance -DT,1,12,24
28/04/2026,05:15 PM,PVVNL,CMI through MI,408,837,1340
28/04/2026,05:15 PM,PVVNL,CMI through CI,306,837,1340
28/04/2026,05:15 PM,PVVNL,CI,390,837,1340
28/04/2026,05:15 PM,PVVNL,CMI,584,837,1340
28/04/2026,05:15 PM,PVVNL,New service Connection,714,837,1340
28/04/2026,05:15 PM,PVVNL,O & M,111,837,1340
28/04/2026,05:15 PM,PVVNL,DT Survey,132,837,1340
28/04/2026,05:15 PM,PVVNL,DT O&M,15,837,1340
28/04/2026,05:15 PM,PVVNL,DT Meter Installation,117,837,1340
28/04/2026,05:16 PM,APDCL7,New service Connection,22,390,682
28/04/2026,05:16 PM,APDCL7,Meter Installation[MI],820,390,682
28/04/2026,05:16 PM,APDCL7,O & M,368,390,682
28/04/2026,05:16 PM,APDCL7,DT Survey,10,390,682
28/04/2026,05:16 PM,APDCL7,DT OM,6,390,682
28/04/2026,05:16 PM,APDCL7,DT Meter Installation,2,390,682
28/04/2026,05:16 PM,Polaris,Consumer 1 PH   3 PH OM,75,606,790
28/04/2026,05:16 PM,Polaris,Consumer Indexing CI,634,606,790
28/04/2026,05:16 PM,Polaris,DTR Meter Installation,92,606,790
28/04/2026,05:16 PM,Polaris,DTR Survey,56,606,790
28/04/2026,05:16 PM,Polaris,Feeder Meter Installation,6,606,790
28/04/2026,05:16 PM,Polaris,Feeder Survey,7,606,790
28/04/2026,05:16 PM,Polaris,HSE Declaration Form,427,606,790
28/04/2026,05:16 PM,Polaris,Meter Installation MI,271,606,790
28/04/2026,05:16 PM,Polaris,New service Connection,499,606,790
28/04/2026,05:16 PM,Polaris,Preliminary DTR Survey,1,606,790
28/04/2026,05:16 PM,Polaris,Screening,1,606,790
28/04/2026,05:16 PM,GVPR,DT Meter Installation,23,12,24
28/04/2026,05:16 PM,GVPR,DT Survey,13,12,24
28/04/2026,05:16 PM,GVPR,Operations and Maintenance,3,12,24
28/04/2026,05:16 PM,GVPR,Operations and Maintenance -DT,1,12,24
28/04/2026,05:17 PM,GVPR,DT Meter Installation,23,12,24
28/04/2026,05:17 PM,GVPR,DT Survey,13,12,24
28/04/2026,05:17 PM,GVPR,Operations and Maintenance,3,12,24
28/04/2026,05:17 PM,GVPR,Operations and Maintenance -DT,1,12,24
28/04/2026,05:55 PM,Polaris,Consumer 1 PH   3 PH OM,81,622,799
28/04/2026,05:55 PM,Polaris,Consumer Indexing CI,688,622,799
28/04/2026,05:55 PM,Polaris,DTR Meter Installation,102,622,799
28/04/2026,05:55 PM,Polaris,DTR Survey,56,622,799
28/04/2026,05:55 PM,Polaris,Feeder Meter Installation,7,622,799
28/04/2026,05:55 PM,Polaris,Feeder Survey,7,622,799
28/04/2026,05:55 PM,Polaris,HSE Declaration Form,435,622,799
28/04/2026,05:55 PM,Polaris,Meter Installation MI,303,622,799
28/04/2026,05:55 PM,Polaris,New service Connection,547,622,799
28/04/2026,05:55 PM,Polaris,Preliminary DTR Survey,1,622,799
28/04/2026,05:55 PM,Polaris,Screening,1,622,799
